EPOCH 1 - loss: 1.1597, accuracy: 0.0478 
EPOCH 2 - loss: 1.1338, accuracy: 0.0565 
EPOCH 3 - loss: 1.1085, accuracy: 0.0717 
EPOCH 4 - loss: 1.0842, accuracy: 0.1348 
EPOCH 5 - loss: 1.0596, accuracy: 0.3348 
EPOCH 6 - loss: 1.0343, accuracy: 0.563 
EPOCH 7 - loss: 1.0078, accuracy: 0.7565 
EPOCH 8 - loss: 0.9785, accuracy: 0.8065 
EPOCH 9 - loss: 0.9442, accuracy: 0.9152 
EPOCH 10 - loss: 0.9036, accuracy: 0.9522 
EPOCH 11 - loss: 0.8543, accuracy: 0.9565 
EPOCH 12 - loss: 0.7974, accuracy: 0.9565 
EPOCH 13 - loss: 0.7354, accuracy: 0.9565 
EPOCH 14 - loss: 0.6713, accuracy: 0.9565 
EPOCH 15 - loss: 0.6024, accuracy: 0.9565 
EPOCH 16 - loss: 0.5261, accuracy: 0.9565 
EPOCH 17 - loss: 0.4429, accuracy: 0.9565 
EPOCH 18 - loss: 0.3565, accuracy: 0.9565 
EPOCH 19 - loss: 0.2765, accuracy: 0.9565 
EPOCH 20 - loss: 0.2244, accuracy: 0.9565 
EPOCH 21 - loss: 0.1983, accuracy: 0.9565 
EPOCH 22 - loss: 0.2044, accuracy: 0.9565 
EPOCH 23 - loss: 0.2126, accuracy: 0.9565 
EPOCH 24 - loss: 0.2129, accuracy: 0.9565 
EPOCH 25 - loss: 0.2052, accuracy: 0.9565 
EPOCH 26 - loss: 0.1953, accuracy: 0.9565 
EPOCH 27 - loss: 0.1851, accuracy: 0.9565 
EPOCH 28 - loss: 0.1823, accuracy: 0.9565 
EPOCH 29 - loss: 0.1811, accuracy: 0.9565 
EPOCH 30 - loss: 0.1802, accuracy: 0.9565 
EPOCH 31 - loss: 0.1786, accuracy: 0.9565 
EPOCH 32 - loss: 0.1761, accuracy: 0.9565 
EPOCH 33 - loss: 0.1736, accuracy: 0.9565 
EPOCH 34 - loss: 0.1724, accuracy: 0.9565 
EPOCH 35 - loss: 0.1721, accuracy: 0.9565 
EPOCH 36 - loss: 0.1718, accuracy: 0.9565 
EPOCH 37 - loss: 0.1698, accuracy: 0.9565 
EPOCH 38 - loss: 0.1685, accuracy: 0.9565 
